"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","API - Gestão de Usuários","1","0","Listar Usuários","0"
"0","","0","API - Gestão de Usuários","6","0","Criar Usuário","0"
"0","","0","Fluxo de compras","11","0","checkout.feature","0"
"0","","0","API - Gestão de Usuários","3","0","Remover Usuário","0"
"0","","0","API - Gestão de Usuários","3","0","Atualizar Usuário","0"
"0","","0","API - Gestão de Usuários","2","0","Buscar Usuário","0"
"0","","0","Login na Practice Software Testing","3","1","login.feature","0"
